Name and Description,Price in Dollars,Price in Rupees
"        TCL 40XL Unlocked Cell Phone 4GB + 128GB, 6.75"" 90Hz Display, Smartphone Android 13, 50MP AI Camera Mobile Phone, 5000 mAh, Dark Gray       ", $149.99 ,12149.19
"        TCL 30 SE |2022| 6.52"" Unlocked Cell Phone, 4+64GB Android Phone GSM Unlocked Smartphone with 50MP Camera, 5000mAh, Single SIM, US Version, Space Gray (Not Support Verizon/Boost/5G)       ", $103.59 ,8390.79
"        TCL 30 SE |2022| 6.52"" Unlocked Cell Phone, 4+64GB Android Phone GSM Unlocked Smartphone with 50MP Camera, 5000mAh, Single SIM, US Version, Space Gray (Not Support Verizon/Boost/5G)       ", $103.59 ,8390.79
"        TracFone BLU View 2 (2022) 4G LTE, 32GB, Sim Card Included, Black - Prepaid Smartphone (Locked)       ",$999.99,80999.19
"        Ulefone Note 6 (2022) GSM 3G Unlocked Smartphone, Triple Card Slots, 6.1"" Waterdrop Incell Full- Screen Dual SIM Unlocked Cell Phones, AI Camera 5MP+2MP, 3300mAh, Face Unlock, Android 11 - Purple       ", $82.99 ,6722.19
"        TCL 30XL |2022| Unlocked Cell Phone, 6.82 inch Vast Display, 5000mAh Battery, Android 12 Smartphone, 50MP Rear+13MP Front Camera, 6GB RAM + 64GB ROM, US Version, Dual Speaker, Night Mist (No 5G)       ", $149.99 ,12149.19
"        Ulefone Unlocked Smartphones Note 10P, Dual Sim Phones Unlocked, 3GB + 128GB ROM, Android 11, 6.52-inch HD+, 5500mAh High Capacity Battery, 13MP + 8MP, Fingerprint Face Detection, GPS, T-Mobile - Red       ", $129.99 ,10529.19
"        TCL 30 SE |2022| 6.52"" Unlocked Cell Phone, 4+64GB Android Phone GSM Unlocked Smartphone with 50MP Camera, 5000mAh, Single SIM, US Version, Atlantic Blue(Not Support Verizon/Boost/5G)       ", $103.59 ,8390.79
"        TracFone BLU View 2 (2022) 4G LTE, 32GB, Sim Card Included, Black - Prepaid Smartphone (Locked)       ",$75.00,6075.0
"        Tracfone Alcatel TCL A3, 32GB, Black - Prepaid Smartphone (Locked)       ",$103.59,8390.79
        Nokia 225 | GSM Unlocked Mobile Phone | 4G | Black       , $49.99 ,4049.19
"        OnePlus Nord N20 5G | Android Smart Phone | 6.43"" AMOLED Display| 6+128GB | U.S. Unlocked | 4500 mAh Battery | 33W Fast Charging | Blue Smoke       ",$179.99,14579.19
"        OnePlus Nord N200 | 5G Unlocked Android Smartphone U.S Version | 6.49"" Full HD+LCD Screen | 90Hz Smooth Display | Large 5000mAh Battery | Fast Charging | 64GB Storage | Triple Camera,Blue Quantum       ",$283.99,23003.190000000002
"        TCL 30XL |2022| Unlocked Cell Phone, 6.82 inch Vast Display, 5000mAh Battery, Android 12 Smartphone, 50MP Rear+13MP Front Camera, 6GB RAM + 64GB ROM, US Version, Dual Speaker, Night Mist (No 5G)       ", $149.99 ,12149.19
"        TCL 30 SE |2022| Unlocked Cell Phone 4+128GB, 6.52"" Android Phone GSM Unlocked Smartphone with 50MP Camera, 5000mAh, Single SIM, US Version, Atlantic Blue (Not Support Verizon/Boost/5G)       ", $118.39 ,9589.59
"        Tracfone Alcatel TCL A3, 32GB, Black - Prepaid Smartphone (Locked)       ",$11.89,963.09
"        TCL 30XL |2022| Unlocked Cell Phone, 6.82 inch Vast Display, 5000mAh Battery, Android 12 Smartphone, 50MP Rear+13MP Front Camera, 6GB RAM + 64GB ROM, US Version, Dual Speaker, French Navy (No 5G)       ", $149.99 ,12149.19
"        TCL 30 SE |2022| Unlocked Cell Phone 4+128GB, 6.52"" Android Phone GSM Unlocked Smartphone with 50MP Camera, 5000mAh, Single SIM, US Version, Atlantic Blue (Not Support Verizon/Boost/5G)       ", $118.39 ,9589.59
